              3D.DAT Grid Points
      X           Y        Longitude    Latitude
    (km)        (km)        (deg E)     (deg N)
      35.691       6.581      17.309      47.738
      37.693       6.546      17.336      47.738
      39.703       6.500      17.363      47.738
      41.706       6.466      17.390      47.738
      43.709       6.434      17.416      47.739
      45.719       6.401      17.443      47.739
      47.722       6.358      17.470      47.739
      49.724       6.328      17.497      47.739
      51.734       6.286      17.523      47.739
      53.737       6.245      17.550      47.739
      55.747       6.216      17.577      47.739
      57.750       6.177      17.604      47.740
      59.752       6.139      17.630      47.740
      61.762       6.101      17.657      47.740
      63.765       6.064      17.684      47.740
      65.775       6.027      17.711      47.740
      67.778       5.992      17.737      47.740
      69.780       5.957      17.764      47.740
      71.790       5.922      17.791      47.740
      73.793       5.877      17.817      47.740
      75.803       5.844      17.844      47.740
      77.805       5.813      17.871      47.741
      79.808       5.770      17.898      47.741
      81.818       5.739      17.924      47.741
      83.820       5.698      17.951      47.741
      85.830       5.657      17.978      47.741
      87.833       5.629      18.005      47.741
      89.835       5.590      18.031      47.741
      91.845       5.551      18.058      47.741
      93.848       5.514      18.085      47.741
      95.858       5.477      18.112      47.741
      97.860       5.440      18.138      47.741
      99.863       5.405      18.165      47.741
     101.873       5.370      18.192      47.741
     103.876       5.336      18.219      47.741
     105.885       5.291      18.245      47.741
     107.888       5.259      18.272      47.741
     109.891       5.227      18.299      47.741
     111.901       5.184      18.326      47.741
     113.903       5.154      18.352      47.741
     115.913       5.112      18.379      47.740
     117.916       5.072      18.406      47.740
     119.926       5.043      18.433      47.740
     121.928       5.005      18.459      47.740
     123.931       4.967      18.486      47.740
     125.941       4.929      18.513      47.740
     127.943       4.892      18.539      47.740
     129.953       4.856      18.566      47.740
     131.956       4.821      18.593      47.740
     133.959       4.786      18.620      47.740
     135.969       4.752      18.646      47.739
     137.971       4.707      18.673      47.739
     139.974       4.675      18.700      47.739
     141.984       4.643      18.727      47.739
     143.987       4.601      18.753      47.739
     145.997       4.570      18.780      47.739
     148.000       4.530      18.807      47.739
     150.002       4.489      18.833      47.738
     152.012       4.450      18.860      47.738
     154.015       4.422      18.887      47.738
     156.025       4.384      18.914      47.738
     158.028       4.347      18.941      47.738
     160.031       4.310      18.967      47.737
     162.041       4.274      18.994      47.737
     164.044       4.239      19.021      47.737
     166.047       4.205      19.047      47.737
     168.057       4.159      19.074      47.737
     170.060       4.126      19.101      47.736
     172.063       4.094      19.128      47.736
