CMDLINE /users/p6065/anaconda3/envs/supergeo/bin/python3.9 seqproc_test.py
MEM 260.070312 1669892515.2364
MEM 260.070312 1669892515.3368
MEM 260.070312 1669892515.4373
MEM 260.070312 1669892515.5377
MEM 260.070312 1669892515.6382
MEM 260.070312 1669892515.7387
MEM 260.070312 1669892515.8392
MEM 260.070312 1669892515.9398
MEM 260.070312 1669892516.0403
MEM 260.070312 1669892516.1413
MEM 260.070312 1669892516.2418
MEM 260.070312 1669892516.3422
MEM 260.070312 1669892516.4427
MEM 260.070312 1669892516.5431
MEM 260.070312 1669892516.6436
MEM 260.070312 1669892516.7441
MEM 260.070312 1669892516.8446
MEM 260.070312 1669892516.9452
MEM 260.070312 1669892517.0457
MEM 260.070312 1669892517.1463
MEM 260.070312 1669892517.2468
MEM 260.070312 1669892517.3472
MEM 260.070312 1669892517.4477
MEM 260.070312 1669892517.5481
MEM 260.070312 1669892517.6486
MEM 260.070312 1669892517.7491
MEM 260.070312 1669892517.8495
MEM 260.070312 1669892517.9500
MEM 260.070312 1669892518.0506
